team_id,team_name,ko_name,ko_name_short,primary_color_override,number_color_override
996,Alanyaspor,알란야스포르,알란야스포르,40a23d,ffffff
997,Gençlerbirliği S.K.,겐츨레르비를리이,,e91b23,ffffff
998,Trabzonspor,트라브존스포르,,75b7e5,5a0e27
1001,Kayserispor,카이세리스포르,카이세리스포르
1004,Kasımpaşa,카슴파샤,카슴파샤,0f2f62,ffffff
1005,Antalyaspor,안탈리아스포르,안탈리아스포르
1007,Rizespor,차이쿠르 리제스포르,리제스포르,1d54ac,ffffff
3573,Gaziantep FK,가지안테프,가지안테프,e50328,000000
3588,Eyüpspor,에윕스포르,에윕스포르,ffcc00,66549e
3589,Fatih Karagümrük,파티흐 카라귐뤼크,카라귐뤼크
3603,Samsunspor,삼순스포르,삼순스포르,c70a0c,ffffff
7411,Kocaelispor,코자엘리스포르,코자엘리스포르,00672d,ffffff
193,PEC Zwolle,즈볼러,즈볼러,1858b0,ffffff
194,Ajax,아약스,아약스,d50032,ffffff
196,Excelsior,엑셀시오르,엑셀시오르,000000,ffffff
197,PSV Eindhoven,PSV 에인트호번,PSV,f00000,ffffff
201,AZ Alkmaar,AZ 알크마르,AZ,db0021,ffffff
202,Groningen,흐로닝언,흐로닝언,008f5a,ffffff
203,NAC Breda,NAC 브레다,NAC
205,Fortuna Sittard,포르튀나 시타르트,포르튀나,ffe01b,004b37
206,Heracles,헤라클레스 알멜로,헤라클레스
207,Utrecht,위트레흐트,위트레흐트,ffffff,000000
209,Feyenoord,페예노르트,페예노르트,e30013,ffffff
210,Heerenveen,헤이렌베인,헤이렌베인,00509f,ffffff
410,GO Ahead Eagles,고 어헤드 이글스,고 어헤드,c21727,ffd800
413,NEC Nijmegen,NEC 네이메헌,NEC,ed1c24,ffffff
415,Twente,트벤터,트벤터,e30621,ffffff
416,FC Volendam,폴렌담,폴렌담
426,Sparta Rotterdam,스파르타 로테르담,스파르타 R.,ffffff,e50020
427,Telstar,텔스타,텔스타,0a57a4,f2c200
260,OH Leuven,뢰번,뢰번,d71920,ffffff
261,KVC Westerlo,베스테를로,베스테를로,ddb933,045b93
266,KV Mechelen,메헬런,메헬런,e41b13,ffe500
554,Anderlecht,안데를레흐트,안데를레흐트,542791,f89e4f
569,Club Brugge KV,클뤼프 브뤼허,Cl. 브뤼허,027abc,000000
600,Zulte Waregem,쥘터 바레험,,d30240,ffffff
631,Gent,헨트,헨트,1c63b7,ffffff
733,Standard Liege,스탕다르 리에주,리에주,ee2e24,ffffff
735,St. Truiden,신트트라위던,,fcec2c,2c3c7b
736,Charleroi,로얄 샤를루아,샤를루아,000000,ffffff
740,Antwerp,로열 앤트워프,앤트워프,d10f2f,ffffff
741,Cercle Brugge,세르클러 브뤼허,Cr. 브뤼허,60b22c,ffffff
742,Genk,헹크,헹크,00468f,ffffff
1393,Union St. Gilloise,위니옹 생질루아,위니옹,1454a1,ffd300
5902,RAAL La Louvière,라 루비에르,라 루비에르,2b8448,ffffff
6215,Dender,덴더르,덴더르
247,Celtic,셀틱,셀틱,009b48,ffffff
249,Hibernian,히버니언,히버니언,00753b,ffffff
250,Kilmarnock,킬마녹,킬마녹,2f368f,ffffff
251,ST Mirren,세인트 미렌,St. 미렌,000000,ffffff
252,Aberdeen,애버딘,애버딘,e2001a,ffffff
253,Dundee,던디 FC,던디 FC,142957,ffffff
254,Heart Of Midlothian,하트 오브 미들로시언,하츠,9f1931,f6be5f
255,Livingston,리빙스턴,리빙스턴
256,Motherwell,머더웰,머더웰,fbba2d,7a143f
257,Rangers,레인저스,레인저스,0032a0,ffffff
1386,Dundee Utd,던디 유나이티드,던디 Utd.,ff6600,111111
1389,Falkirk,폴커크,폴커크,ffffff,00205b
2637,Macva,마츠바,마츠바
2642,Zemun,제문,제문,00519d,f5c72b
2649,Borac Cacak,보라츠 차차크,보라츠
2651,FK Trayal,트라얄,트라얄
2658,FK Vozdovac,보주도바츠,보주도바츠
4252,Grafičar,그라피차르,그라피차르
